#T/J: 0.075
 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14
0.39989321 0.08405263 0.06253923 0.05528089 0.05258278 0.05072625  0.04958753 0.04876466 0.048313   0.04788006 0.04758465 0.04736716  0.04717132 0.04717306 0.0470862 
0.00028614 0.00025278 0.00026202 0.00024467 0.00024588 0.00019789  0.00022348 0.00026088 0.00021513 0.00025342 0.00019765 0.00027947  0.00023973 0.00018747 0.00025913

#T/J: 0.1
 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14
0.40004651 0.08406183 0.06242498 0.0550896  0.05244187 0.05064961  0.04947931 0.04865183 0.04806234 0.04772944 0.04737562 0.04717727  0.04692472 0.04686464 0.04678372
0.00020683 0.00022819 0.00020747 0.00020084 0.00019237 0.00018914  0.00026635 0.00018122 0.00025504 0.00022659 0.00019857 0.0002173  0.00022762 0.00021477 0.00023393

#T/J: 0.2
 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14
0.40003054 0.08331385 0.06161378 0.05403336 0.05093567 0.04884733  0.0473121  0.04628988 0.04545129 0.04485412 0.04436676 0.04390809  0.04363705 0.04341981 0.04332638
0.00018976 0.00020254 0.0002156  0.00022479 0.00022869 0.00022895  0.00032807 0.00017815 0.00021467 0.00020952 0.0002006  0.00023066  0.00024221 0.00029379 0.00028479

#T/J: 0.5
 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14
3.99985834e-01 6.07860429e-02 3.15670723e-02 1.77503639e-02  1.06641677e-02 6.63783492e-03 4.18257035e-03 2.68172989e-03  1.76138350e-03 1.13184628e-03 7.68210468e-04 5.09911891e-04  3.51687070e-04 2.67730677e-04 2.08248141e-04
4.17124720e-05 6.41739780e-05 7.58921269e-05 7.56931769e-05  6.85119461e-05 8.29012959e-05 7.45939016e-05 7.88422513e-05  9.57056031e-05 6.87639552e-05 7.98767950e-05 6.79026580e-05  5.10825680e-05 4.98503051e-05 3.91176494e-05

#T/J: 1.0
 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14
4.00010221e-01 3.64683424e-02 1.12146450e-02 3.15554249e-03  8.99076218e-04 2.69513738e-04 7.97431670e-05 2.09421137e-05  6.54849694e-06 2.00446193e-06 6.14472352e-07 1.08349708e-07  1.35515962e-08 7.65008956e-09 1.78117114e-09
5.00439774e-05 6.28312966e-05 1.20802485e-04 1.20774245e-04  5.99754047e-05 3.65206590e-05 3.26520673e-05 5.79732364e-06  4.45079352e-06 2.63684128e-06 5.59159446e-07 1.02504492e-07  2.48823898e-08 2.65901431e-08 7.98671048e-09

