#n_h: 3
#T/J: 0.2
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.00058131 0.00196339 0.0036981  0.00550983 0.00686344 0.00795025 0.00847768 0.00872146 0.00871378 0.00872065 0.00859135 0.00854778 0.0085895  0.00855894 0.0086564  0.00859383 0.0085435  0.00857128 0.00858907 0.0086956  0.00874093 0.0087012  0.00847988 0.00795425 0.00692107 0.00553909 0.00368605 0.00195284 0.00060486
0.00012227 0.0001933  0.00027454 0.00029677 0.00035858 0.00021906 0.00015072 0.00016968 0.00018756 0.00029054 0.0002471  0.00025616 0.00024629 0.00023591 0.00025304 0.000261   0.00027384 0.00023907 0.00025798 0.00023859 0.00019191 0.00018775 0.00017012 0.00024122 0.00032627 0.00029707 0.00025203 0.00016248 0.00014044

#n_h: 3
#T/J: 0.5
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.0011975  0.00353575 0.00572676 0.00711438 0.00770058 0.00785081 0.0079057  0.00786706 0.00786438 0.00786289 0.00786306 0.00785436 0.00783451 0.00782665 0.00784387 0.00783998 0.00783836 0.00788171 0.00781988 0.00784585 0.00787573 0.00785785 0.00791532 0.00788265 0.00771069 0.00712502 0.00575166 0.00352785 0.00116993
0.00011984 0.00014813 0.00012442 0.00012166 0.00013054 0.00013231 0.00012907 0.00014693 0.00012379 0.0001322  0.00013422 0.00015061 0.00014836 0.00014227 0.00015834 0.00015421 0.00013842 0.00011979 0.00015169 0.0001506  0.00011937 0.00016698 0.00011544 0.00011305 0.00012692 0.0001366  0.00015773 0.00011585 0.00014768

#n_h: 3
#T/J: 1.0
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.00196621 0.0049912  0.00682502 0.00740628 0.00748533 0.00752841 0.00747963 0.00754144 0.00748504 0.00750418 0.00752512 0.00748508 0.00751732 0.00754854 0.00754798 0.00755998 0.00751255 0.00753318 0.00749455 0.00747361 0.00745689 0.00748896 0.00749877 0.00750227 0.00749792 0.00739889 0.00684478 0.00505917 0.00197376
0.00014775 0.00014684 0.00014428 0.0001232  0.00013446 0.00014313 0.00011962 0.00013882 0.0001399  0.00016924 0.00015282 0.00013491 0.00011722 0.00015664 0.0001103  0.00016416 0.00010785 0.00014269 0.00011731 0.00013387 0.00011378 0.00015114 0.00017346 0.0001387 0.00013999 0.00012995 0.00013527 0.00010503 0.0001861 

#n_h: 4
#T/J: 0.2
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.0014948  0.00474605 0.00885633 0.01250486 0.01516362 0.01653513 0.01695549 0.01674125 0.01654638 0.01647183 0.0163651  0.01647442 0.01664038 0.01674692 0.01675806 0.01674676 0.01663076 0.01647138 0.01639726 0.01643967 0.01655859 0.01676355 0.01695234 0.01651642 0.0151352  0.01252986 0.00883479 0.00478327 0.00147825
0.00017029 0.00018951 0.00025406 0.00031068 0.00024855 0.0002384 0.00020998 0.00032857 0.00023301 0.00018845 0.00025925 0.00019931 0.0002407  0.00026749 0.00042654 0.0002652  0.00024456 0.00021932 0.00030605 0.00020379 0.00022657 0.0003158  0.00022695 0.00024037 0.00024734 0.00023705 0.00026898 0.00024899 0.00015205

#n_h: 4
#T/J: 0.5
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.00264027 0.00763435 0.01211432 0.01456759 0.01545546 0.01556161 0.01557646 0.01562159 0.01553591 0.01555328 0.01552864 0.01556818 0.01557354 0.01557445 0.0155801  0.01559509 0.01556855 0.01554906 0.01553155 0.01559075 0.01556772 0.01556423 0.01554883 0.01557911 0.01545778 0.01454057 0.01209638 0.00763117 0.00261305
0.00016042 0.00016955 0.00019515 0.00017429 0.00014207 0.00013633 0.00016389 0.00016425 0.00016314 0.00017506 0.00014564 0.00014427 0.00017584 0.00014738 0.00020085 0.00019335 0.00017466 0.00016663 0.00017929 0.0001048  0.00016092 0.00013265 0.00015469 0.00015316 0.0001766  0.00014563 0.00015612 0.00016794 0.0001461 

#n_h: 4
#T/J: 1.0
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.00415936 0.01052113 0.0138925  0.01480363 0.01495288 0.01489078 0.01491088 0.01493606 0.01485832 0.01489732 0.0148769  0.01497371 0.01494116 0.01490667 0.0149868  0.01493714 0.01494527 0.01495335 0.01488835 0.01490811 0.01490045 0.01492121 0.01493281 0.01491386 0.01495932 0.01484322 0.01388016 0.01048506 0.00416143
0.00014638 0.00016752 0.00015183 0.00014683 0.00013035 0.00017641 0.00013927 0.00012762 0.00014009 0.00016918 0.00017153 0.00017442 0.00017097 0.00016782 0.00018402 0.00018583 0.00017918 0.0001981 0.0001457  0.00014246 0.00012535 0.00014245 0.00013804 0.00016113 0.00015647 0.00016596 0.00013313 0.00015073 0.00016354

#n_h: 5
#T/J: 0.2
