#beta    	T                  	dc-mu    	Errdown  ErrUp
8       	0.125              	18      	12      125
6.72717 	0.148650918588351  	7.08    	4       55
5.65685 	0.176776828093374  	3.9     	1.9     40
4.75683 	0.210224035754904  	2.4     	1       13
4       	0.25               	1.36    	0.42    0.78
3.36359 	0.297301395235448  	1       	0.35    0.9
2.82843 	0.353553031186913  	0.754   	0.26    0.65
2.37841 	0.42044895539457   	0.577   	0.19    0.54
2       	0.5                	0.39    	0.14    0.14
1       	1                  	0.314   	0.13    0.33
0.5     	2                  	0.24    	0.1     0.18
0.25    	4                  	0.166   	0.09    0.22
0.125   	8                  	0.11    	0.05    0.1
